epoch,split,accuracy,dog_pred_count,cat_pred_count,others_pred_count,dog_recall,cat_recall,others_recall,mean_dog_score_on_dog,mean_cat_score_on_dog,mean_others_score_on_dog,mean_dog_score_on_cat,mean_cat_score_on_cat,mean_others_score_on_cat,mean_dog_score_on_others,mean_cat_score_on_others,mean_others_score_on_others
19,mini_train,0.7777777777777778,41,20,29,1.0,0.5333333333333333,0.8,0.3105176802161326,-0.5559681287661877,-0.6130326097302745,-0.4717378843579981,-0.14391756680796594,-0.32527228880108494,-0.5848548007296154,-0.4078373643164165,0.06525401250118383
19,probe,0.4,16,6,8,0.7,0.2,0.3,0.027263996628533245,-0.40414223182454057,-0.5175562457311563,-0.23145992368367577,-0.25529571515668875,-0.22981803904675316,-0.3724066517803892,-0.3878471328782634,-0.22192965860857075
20,mini_train,0.8,39,21,30,1.0,0.5666666666666667,0.8333333333333334,0.3220060879368767,-0.5565636406072475,-0.6189418763148875,-0.48725142152127315,-0.11868638397048238,-0.325070582015562,-0.5956229683734378,-0.42058429958150945,0.08724859264122288
20,probe,0.43333333333333335,15,6,9,0.7,0.2,0.4,0.028154057288375188,-0.3931851138397614,-0.518536748917527,-0.233722526039933,-0.25297822549255056,-0.22545959286025244,-0.3851706197749677,-0.38650949697053505,-0.20798828154851529
21,mini_train,0.8,39,21,30,1.0,0.5666666666666667,0.8333333333333334,0.3249548147136872,-0.5558488620525069,-0.6214549139538056,-0.5032788097449749,-0.0911855310054886,-0.32418953451241234,-0.6091209132429628,-0.4253373472447804,0.11240819293850778
21,probe,0.4,14,7,9,0.6,0.2,0.4,0.027781610394192663,-0.3773371561045196,-0.5207675879675574,-0.24454027776795048,-0.2455788149811736,-0.21820773174911276,-0.40074011621598976,-0.3829388956968517,-0.19130599529488018
22,mini_train,0.8,37,21,32,1.0,0.5666666666666667,0.8333333333333334,0.3247924926265061,-0.5572747079902771,-0.6229623876413163,-0.5217434189836777,-0.072436953376559,-0.32410756502736415,-0.6303503690225569,-0.43135037252736375,0.13960694663483297
22,probe,0.36666666666666664,13,8,9,0.5,0.2,0.4,0.005738179989581815,-0.37042188678278853,-0.5146811268428029,-0.2653605883204373,-0.24220820936971726,-0.20851984271452334,-0.4169877007018514,-0.38462731999259214,-0.1755325491593888
23,mini_train,0.8,37,21,32,1.0,0.5666666666666667,0.8333333333333334,0.32616130606922106,-0.559603918711765,-0.6255616088862304,-0.5340802978333777,-0.05671378902945476,-0.32784481226752155,-0.6467189168376675,-0.43853349643412604,0.1633460574597477
23,probe,0.36666666666666664,13,8,9,0.5,0.2,0.4,-0.016199456276593662,-0.366094969166397,-0.5087343896462272,-0.290781196892135,-0.23645500589217092,-0.1984732335645197,-0.42816741701634164,-0.3884326777440486,-0.1628131942963314
24,mini_train,0.8,37,21,32,1.0,0.5666666666666667,0.8333333333333334,0.3308760695047375,-0.5611998211915726,-0.6288423085233912,-0.5405738930163403,-0.03988770412540659,-0.33455779920587303,-0.6586167862256527,-0.443729286753696,0.18478257694324768
24,probe,0.4,12,9,9,0.5,0.3,0.4,-0.027976120148919113,-0.362552980874837,-0.5058322305667393,-0.3089148508810159,-0.2300464663912684,-0.19176129712562803,-0.4361670602991753,-0.390149808467072,-0.15084924141268655
25,mini_train,0.8111111111111111,37,22,31,1.0,0.6,0.8333333333333334,0.3367204118538721,-0.5611747986163854,-0.6321218302298506,-0.5451833737177042,-0.021101147747645613,-0.3419975464694477,-0.6688505711332748,-0.4467959133151344,0.20508417904028045
25,probe,0.4,12,9,9,0.5,0.3,0.4,-0.030961029740998625,-0.3602677793568377,-0.5052894812107868,-0.3134444397203394,-0.22880761109400022,-0.18778595721113886,-0.44304702012460034,-0.3890895995545296,-0.13972749496774783
26,mini_train,0.8111111111111111,37,22,31,1.0,0.6,0.8333333333333334,0.3428931333046685,-0.5625510412122254,-0.6355631175571475,-0.550007188018461,-0.007494869282478487,-0.34813846239340873,-0.6796025631664706,-0.45135190473625586,0.22518723705296118
26,probe,0.4,12,9,9,0.5,0.3,0.4,-0.03436312931562484,-0.3589307094728573,-0.5044355261159711,-0.31914986307058846,-0.22740664391947876,-0.1834821955671334,-0.4493973491254713,-0.38878496003967294,-0.1299044094189189
27,mini_train,0.8111111111111111,37,22,31,1.0,0.6,0.8333333333333334,0.3498202567777761,-0.5648903509225616,-0.6391452902412241,-0.5551083418737747,0.0029695188274285354,-0.35317829308139587,-0.6899871047227176,-0.45688620604460206,0.24486960573190372
27,probe,0.4,12,9,9,0.5,0.3,0.4,-0.037299464409153736,-0.35918594881930427,-0.5033899305818149,-0.32224403112875577,-0.2276399874292811,-0.1800629739114051,-0.4553662699767912,-0.38883681642786294,-0.12014089694240897
28,mini_train,0.8222222222222222,37,23,30,1.0,0.6333333333333333,0.8333333333333334,0.3589959094376946,-0.5682166151503737,-0.6434160795721602,-0.560415258096019,0.011820828820232936,-0.35768381741949634,-0.6999458514266387,-0.4628675577233365,0.26392691106709976
28,probe,0.4,12,9,9,0.5,0.3,0.4,-0.04035087529130897,-0.3606084588200952,-0.5020825427631619,-0.32303030507272956,-0.22940030215729101,-0.1774751053362195,-0.46118732790264005,-0.3893138452386423,-0.11004560160048608
29,mini_train,0.8222222222222222,37,23,30,1.0,0.6333333333333333,0.8333333333333334,0.37026863289283235,-0.5722430915105694,-0.6482929665261778,-0.5660549365873777,0.019902331800281278,-0.361916931151056,-0.7096076445928988,-0.46902692945040036,0.28236996686197796
29,probe,0.4,12,9,9,0.5,0.3,0.4,-0.04392644463546167,-0.36257066159729784,-0.5005525260559002,-0.3224584198643529,-0.2321780708350948,-0.1754480403317517,-0.4677930681435264,-0.3898867655749477,-0.09928455578352294
30,mini_train,0.8222222222222222,37,23,30,1.0,0.6333333333333333,0.8333333333333334,0.37899522541842995,-0.5764672616321438,-0.6524769433599716,-0.5711015587545792,0.026974467946177822,-0.3668683529752528,-0.7179069649545103,-0.4757432199529429,0.29946919304020453
30,probe,0.43333333333333335,11,9,10,0.5,0.3,0.5,-0.047119257765144286,-0.36594536847318165,-0.4987273808686673,-0.3201989811104878,-0.23698329391987055,-0.17407809546163794,-0.47311422355982174,-0.39117062293221844,-0.08955661715118492
31,mini_train,0.8222222222222222,37,23,30,1.0,0.6333333333333333,0.8333333333333334,0.386387865387859,-0.5809011074919792,-0.6564635848885398,-0.575234496438512,0.033149651768402545,-0.372926179302336,-0.7249078592202213,-0.4830239152399886,0.31511275284922136
31,probe,0.43333333333333335,11,9,10,0.5,0.3,0.5,-0.049277875583276357,-0.3705459062781896,-0.4971224054800844,-0.31574858277357964,-0.2434570880289113,-0.17402032137705287,-0.4773001907096246,-0.3931203810432006,-0.08110078636524397
32,mini_train,0.8222222222222222,36,23,31,1.0,0.6333333333333333,0.8333333333333334,0.39332947086349107,-0.5854548885194505,-0.6604888970849266,-0.5789355226344183,0.03895747119368699,-0.37970322202291923,-0.7315867637483525,-0.49035897084121144,0.3300272067419426
