experiment,dataset,fold,hidden_sizes,learning_rate,epochs,balanced_train,train_samples,validation_samples,train_accuracy,validation_accuracy,train_loss,validation_loss,dog_recall,cat_recall,others_recall,notes
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,64,0.001,16,True,3399,1062,0.5528096498970285,0.4971751412429379,0.4471903501029715,0.5028248587570621,0.44722222222222224,0.21830985915492956,0.7296650717703349,"train équilibré par sous-échantillonnage; loss=1-accuracy car l’API MLP actuelle expose une prédiction bipolaire, pas une fonction de perte continue."
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,64,0.001,16,True,3399,1062,0.47896440129449835,0.4472693032015066,0.5210355987055016,0.5527306967984934,0.45555555555555555,0.45774647887323944,0.43301435406698563,"train équilibré par sous-échantillonnage; loss=1-accuracy car l’API MLP actuelle expose une prédiction bipolaire, pas une fonction de perte continue."
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,64,0.001,16,True,3402,1060,0.5211640211640212,0.469811320754717,0.47883597883597884,0.530188679245283,0.33147632311977715,0.34275618374558303,0.6746411483253588,"train équilibré par sous-échantillonnage; loss=1-accuracy car l’API MLP actuelle expose une prédiction bipolaire, pas une fonction de perte continue."
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,64,0.001,16,True,3402,1059,0.5135214579659024,0.4730878186968839,0.48647854203409757,0.5269121813031161,0.5125348189415042,0.20141342756183744,0.6235011990407674,"train équilibré par sous-échantillonnage; loss=1-accuracy car l’API MLP actuelle expose une prédiction bipolaire, pas une fonction de perte continue."
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,64,0.001,16,True,3402,1059,0.5061728395061729,0.4400377714825307,0.49382716049382713,0.5599622285174692,0.26740947075208915,0.31095406360424027,0.6762589928057554,"train équilibré par sous-échantillonnage; loss=1-accuracy car l’API MLP actuelle expose une prédiction bipolaire, pas une fonction de perte continue."
